Date,Price,Open,High,Low,Vol.,Change %
15-Apr,59.63,47.55,59.85,47.05,7.63M,25.27%
15-Mar,47.6,49.45,52.48,42.03,7.69M,-4.34%
15-Feb,49.76,47.59,54.24,46.67,8.46M,3.15%
15-Jan,48.24,53.76,55.11,43.58,7.31M,-9.44%
14-Dec,53.27,66,69.54,52.44,6.56M,-19.47%
14-Nov,66.15,80.59,80.98,65.69,5.85M,-17.87%
14-Oct,80.54,91.36,92.96,79.44,7.17M,-11.65%
14-Sep,91.16,95.81,95.91,90.43,5.56M,-5.00%
14-Aug,95.96,97.7,98.67,92.5,4.59M,-2.25%
14-Jul,98.17,105.44,106.09,97.6,5.14M,-6.83%
14-Jun,105.37,102.92,107.73,101.6,4.12M,2.59%
14-May,102.71,99.72,104.5,98.74,4.38M,2.98%
14-Apr,99.74,101.53,104.99,98.86,4.71M,-1.81%
14-Mar,101.58,103,105.22,97.37,4.59M,-0.98%
14-Feb,102.59,97.4,103.8,96.26,3.93M,5.23%
14-Jan,97.49,98.5,98.97,91.24,4.49M,-0.94%
13-Dec,98.42,92.71,100.75,92.56,3.66M,6.15%
13-Nov,92.72,96.32,96.65,91.77,4.51M,-3.80%
13-Oct,96.38,102.31,104.38,95.95,5.14M,-5.81%
13-Sep,102.33,107.07,110.7,101.05,4.58M,-4.94%
13-Aug,107.65,105.26,112.24,102.22,5.30M,2.49%
13-Jul,105.03,96.58,109.32,96.07,5.38M,8.77%
13-Jun,96.56,91.73,99.01,91.26,4.92M,4.99%
13-May,91.97,93.08,97.17,90.11,5.87M,-1.59%
13-Apr,93.46,97.36,97.8,85.61,5.43M,-3.88%
13-Mar,97.23,91.76,97.35,89.33,4.03M,5.63%
13-Feb,92.05,97.42,98.15,91.57,4.12M,-5.58%
13-Jan,97.49,91.78,98.24,91.52,4.38M,6.18%
12-Dec,91.82,88.85,91.99,85.21,3.59M,3.27%
12-Nov,88.91,86.1,89.8,84.05,5.17M,3.10%
12-Oct,86.24,92.15,93.66,84.66,5.24M,-6.45%
